,Unnamed: 0,Tên Sách,Ảnh bìa,Thể loại,Nội dung tóm tắt,Giá bìa,Kích thước,Số trang,Tác giả,Nhà Xuất Bản,Dịch giả,Nhà Phát Hành,Loại sản phẩm,Tên Sách.1,Ảnh bìa.1,Thể loại.1,Tác giả.1,Nội dung tóm tắt.1,Giá bìa.1,Công ty phát hành,Ngày xuất bản,Loại bìa,Số trang.1,Nhà xuất bản,Kích thước.1,Dịch Giả,Phiên bản
10,10,"Combo 3 sách Lập trình với Scratch 3, Bài tập nâng cao và Luyện thi tin học trẻ cấp Tiểu học",https://salt.tikicdn.com/cache/280x280/ts/product/4f/d5/32/2743a2d3ba09e596e3f4c1ec5a674051.jpg,Lập trình - Phần mềm ứng dụng,"Combo Sách Lập Trình với Scratch 3, Sách Bài tập Nâng cao và Sách Luyện thi Tin học trẻ dành cho cấp Tiểu họcSách Lập trình với Scratch 3“Lập trình với Scratch 3” là cuốn sách phiên bản mới của “L...",600000.0,,202.0,nhieu tac gia,,,,,"Combo 3 sách Lập trình với Scratch 3, Bài tập nâng cao và Luyện thi tin học trẻ cấp Tiểu học",https://salt.tikicdn.com/cache/280x280/ts/product/4f/d5/32/2743a2d3ba09e596e3f4c1ec5a674051.jpg,Lập trình - Phần mềm ứng dụng,nhieu tac gia,"Combo Sách Lập Trình với Scratch 3, Sách Bài tập Nâng cao và Sách Luyện thi Tin học trẻ dành cho cấp Tiểu họcSách Lập trình với Scratch 3“Lập trình với Scratch 3” là cuốn sách phiên bản mới của “L...",600000.0,Học viện VIETSTEM,2021-05-08 15:42:30,Bìa mềm,202.0,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,3
11,11,C# Dành Cho Người Bắt Đầu,https://salt.tikicdn.com/cache/280x280/ts/product/81/d4/c5/f02c808c4d29d9ed449a4d03753de5bd.jpg,Lập trình - Phần mềm ứng dụng,"Giới thiệu về C#.Các dạng bài tập xoay quanh.Cuốn sách là tài liệu cần thiết cho sinh viên ,các kỹ thuật viên chuyên ngành tin hoc. Để thuận lợi cho người học, phần code lập trình....",102000.0,16 x 24 cm,366.0,"Phạm Quang Hiển,Phạm Quang Huy",,,,,C# Dành Cho Người Bắt Đầu,https://salt.tikicdn.com/cache/280x280/ts/product/81/d4/c5/f02c808c4d29d9ed449a4d03753de5bd.jpg,Lập trình - Phần mềm ứng dụng,"Phạm Quang Hiển,Phạm Quang Huy","Giới thiệu về C#.Các dạng bài tập xoay quanh.Cuốn sách là tài liệu cần thiết cho sinh viên ,các kỹ thuật viên chuyên ngành tin hoc. Để thuận lợi cho người học, phần code lập trình....",102000.0,Công Ty TNHH Thương Mại STK,2019-05-01 00:00:00,Bìa mềm,366.0,,16 x 24 cm,,
12,12,Arduino Và Lập Trình IoT,https://salt.tikicdn.com/cache/280x280/ts/product/ff/76/72/824e62ff503d162fcf4b750b3b27e8f5.jpg,Lập trình - Phần mềm ứng dụng,"ARDUINO và lập trình ToT có 3 phần với 10 chương.Phần 1: Giới thiệuChương 1:   Tổng quan về hệ thống nhúng, về IoT,  về Arduino, Arduino và Raspberry, Serial monitor, các link kiện thực hành.Phần 2...",129600.0,16 x 24 cm,456.0,Nhiều Tác Giả,,,,,Arduino Và Lập Trình IoT,https://salt.tikicdn.com/cache/280x280/ts/product/ff/76/72/824e62ff503d162fcf4b750b3b27e8f5.jpg,Lập trình - Phần mềm ứng dụng,Nhiều Tác Giả,"ARDUINO và lập trình ToT có 3 phần với 10 chương.Phần 1: Giới thiệuChương 1:   Tổng quan về hệ thống nhúng, về IoT,  về Arduino, Arduino và Raspberry, Serial monitor, các link kiện thực hành.Phần 2...",129600.0,Công Ty TNHH Thương Mại STK,2020-05-01 00:00:00,Bìa mềm,456.0,Nhà Xuất Bản Thanh Niên,16 x 24 cm,,
13,13,Bài tập lập trình cơ bản với ngôn ngữ,https://salt.tikicdn.com/cache/280x280/ts/product/84/45/d4/614df5830a536478998804603de24633.jpg,Lập trình - Phần mềm ứng dụng,"Python là một ngôn ngữ được thiết kế dễ đọc, dễ nhớ, dễ viết. LÀ ngôn ngữ mã nguồn mở, hoàn toàn miễn phí và đa nền tảng. Python có thể ứng dụng cho nhiều lĩnh vực và các ứng dụng đa nền tảng khác nha...",96000.0,,196.0,Trần Thông Quế,,,,,Bài tập lập trình cơ bản với ngôn ngữ,https://salt.tikicdn.com/cache/280x280/ts/product/84/45/d4/614df5830a536478998804603de24633.jpg,Lập trình - Phần mềm ứng dụng,Trần Thông Quế,"Python là một ngôn ngữ được thiết kế dễ đọc, dễ nhớ, dễ viết. LÀ ngôn ngữ mã nguồn mở, hoàn toàn miễn phí và đa nền tảng. Python có thể ứng dụng cho nhiều lĩnh vực và các ứng dụng đa nền tảng khác nha...",96000.0,Trung Tâm Kinh Doanh Xuất Bản Và Phát Hành Sách,2020-12-28 16:24:30,Bìa mềm,196.0,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,1
14,14,Vi Xử Lý Và Vi Điều Khiển,https://salt.tikicdn.com/cache/280x280/ts/product/98/09/ad/9071ac7b44888b81bfa7fab697be9530.jpg,Lập trình - Phần mềm ứng dụng,"Vi Xử Lý Và Vi Điều KhiểnVi xử lý và vi điều khiển , Gồm 10 chương chủ yếu thực hành lập trình điều khiển và hiển thị vơi các linh kiện điện tử thường gặp như: Led đơn,Led 7 đoạn, LCD, Động cơ DC, Độn...",109200.0,16 x 24 cm,400.0,"TS. Lê Ngọc Bích,KS. Phạm Quang Huy",,,,,Vi Xử Lý Và Vi Điều Khiển,https://salt.tikicdn.com/cache/280x280/ts/product/98/09/ad/9071ac7b44888b81bfa7fab697be9530.jpg,Lập trình - Phần mềm ứng dụng,"TS. Lê Ngọc Bích,KS. Phạm Quang Huy","Vi Xử Lý Và Vi Điều KhiểnVi xử lý và vi điều khiển , Gồm 10 chương chủ yếu thực hành lập trình điều khiển và hiển thị vơi các linh kiện điện tử thường gặp như: Led đơn,Led 7 đoạn, LCD, Động cơ DC, Độn...",109200.0,Công Ty TNHH Thương Mại STK,2020-01-02 00:00:00,Bìa mềm,400.0,Nhà Xuất Bản Thanh Niên,16 x 24 cm,,
15,15,20 bài tập lập trình Scratch.Volume 1,https://salt.tikicdn.com/cache/280x280/ts/product/0b/b9/4d/2ed860e8ae6d938e08380d99f4c19121.jpg,Lập trình - Phần mềm ứng dụng,"20 Bài tập lập trình Scratch.Volume 1Các ngôn ngữ lập trình trực quan kéo thả nói chung và Scratch nói riêng đang lan tỏa mạnh mẽ vào mọi ngóc ngách xã hội, trong các nhà trường và gia đình. Có lẽ ch...",55000.0,,104.0,Bùi Việt Hà,,,,,20 bài tập lập trình Scratch.Volume 1,https://salt.tikicdn.com/cache/280x280/ts/product/0b/b9/4d/2ed860e8ae6d938e08380d99f4c19121.jpg,Lập trình - Phần mềm ứng dụng,Bùi Việt Hà,"20 Bài tập lập trình Scratch.Volume 1Các ngôn ngữ lập trình trực quan kéo thả nói chung và Scratch nói riêng đang lan tỏa mạnh mẽ vào mọi ngóc ngách xã hội, trong các nhà trường và gia đình. Có lẽ ch...",55000.0,Công ty TNHH Tin Học Và Nhà Trường,2020-09-04 17:27:13,Bìa mềm,104.0,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,
16,16,Sách Luyện thi hội thi tin học trẻ với Scratch 3 dành cho cấp Tiểu học,https://salt.tikicdn.com/cache/280x280/ts/product/39/db/e0/35a0b3a882a0caaf55cecab4e1d20cd4.jpg,Lập trình - Phần mềm ứng dụng,Sách “Luyện thi hội thi tin học trẻ với Scratch 3 cấp Tiểu học” cung cấp tới các thầy cô và các bạn học sinh tài liệu hướng dẫn ôn luyện “Hội thi Tin học trẻ” (tập trung vào Bảng A: Thi kỹ năng lập tr...,190000.0,,200.0,Nguyễn Hữu Hưng (chủ biên),,,,,Sách Luyện thi hội thi tin học trẻ với Scratch 3 dành cho cấp Tiểu học,https://salt.tikicdn.com/cache/280x280/ts/product/39/db/e0/35a0b3a882a0caaf55cecab4e1d20cd4.jpg,Lập trình - Phần mềm ứng dụng,Nguyễn Hữu Hưng (chủ biên),Sách “Luyện thi hội thi tin học trẻ với Scratch 3 cấp Tiểu học” cung cấp tới các thầy cô và các bạn học sinh tài liệu hướng dẫn ôn luyện “Hội thi Tin học trẻ” (tập trung vào Bảng A: Thi kỹ năng lập tr...,190000.0,Học viện VIETSTEM,2020-05-28 09:08:15,Bìa mềm,200.0,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,
17,17,Combo 3 sách lập trình dành cho học sinh từ 10 tuổi đến 16 tuổi,https://salt.tikicdn.com/cache/280x280/ts/product/2b/0e/21/fd52a91cec67479d2ca305ad3ccf43d7.jpg,Lập trình - Phần mềm ứng dụng,Bộ sách học lập trình với Scratch 3 từ cơ bản đến nâng cao và lập trình App Inventor bao gồm:Combo tài liệu học lập trình với Scratch 3 gồm 3 cuốn+ Sách Lập trình với Scratch 3+ Sách Bài tập Nâng ca...,577500.0,,202.0,nhieu tac gia,,,,,Combo 3 sách lập trình dành cho học sinh từ 10 tuổi đến 16 tuổi,https://salt.tikicdn.com/cache/280x280/ts/product/2b/0e/21/fd52a91cec67479d2ca305ad3ccf43d7.jpg,Lập trình - Phần mềm ứng dụng,nhieu tac gia,Bộ sách học lập trình với Scratch 3 từ cơ bản đến nâng cao và lập trình App Inventor bao gồm:Combo tài liệu học lập trình với Scratch 3 gồm 3 cuốn+ Sách Lập trình với Scratch 3+ Sách Bài tập Nâng ca...,577500.0,Học viện VIETSTEM,,Bìa mềm,202.0,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,3
18,18,Giáo Trình Thực Hành Thiết Kế Kiến Trúc Với  Vray Và Sketchup,https://salt.tikicdn.com/cache/280x280/ts/product/68/19/1b/4574ce5e8b509ccdd1c9b5934e43eda3.jpg,Lập trình - Phần mềm ứng dụng,"SketchUp & Vray là tài liệu hướng dẫn sử dụng Google SketchUp 7.0 và 8.0. Sách giới thiệu các công cụ , lệnh nâng cao thực hiện các bước xây dựng của một công trình, xây dựng project, các hạng mục, tr...",108000.0,16 x 24 cm,399.0,"Phạm Quang Hiển,Phạm Quang Huy",,,,,Giáo Trình Thực Hành Thiết Kế Kiến Trúc Với  Vray Và Sketchup,https://salt.tikicdn.com/cache/280x280/ts/product/68/19/1b/4574ce5e8b509ccdd1c9b5934e43eda3.jpg,Lập trình - Phần mềm ứng dụng,"Phạm Quang Hiển,Phạm Quang Huy","SketchUp & Vray là tài liệu hướng dẫn sử dụng Google SketchUp 7.0 và 8.0. Sách giới thiệu các công cụ , lệnh nâng cao thực hiện các bước xây dựng của một công trình, xây dựng project, các hạng mục, tr...",108000.0,Công Ty TNHH Thương Mại STK,2019-04-01 00:00:00,Bìa mềm,399.0,,16 x 24 cm,,
19,19,Giáo Trình Thực Hành Excel - Dùng Cho Các Phiên Bản 2019-2016-2013,https://salt.tikicdn.com/cache/280x280/ts/product/90/0c/81/06bd8fabaf62bcd83354747819e017f3.jpg,Lập trình - Phần mềm ứng dụng,Giáo Trình Thực Hành Excel - Dùng Cho Các Phiên Bản 2019-2016-2013Trong lĩnh vực điện toán văn phòng. Microsoft Excel là môt trong những chương trình đã và đang ứng dụng rộng rãi trong nhiểu lĩnh vực ...,108000.0,16 x 24 cm,384.0,"Phạm Quang Huy,Phạm Phương Hoa",,,,,Giáo Trình Thực Hành Excel - Dùng Cho Các Phiên Bản 2019-2016-2013,https://salt.tikicdn.com/cache/280x280/ts/product/90/0c/81/06bd8fabaf62bcd83354747819e017f3.jpg,Lập trình - Phần mềm ứng dụng,"Phạm Quang Huy,Phạm Phương Hoa",Giáo Trình Thực Hành Excel - Dùng Cho Các Phiên Bản 2019-2016-2013Trong lĩnh vực điện toán văn phòng. Microsoft Excel là môt trong những chương trình đã và đang ứng dụng rộng rãi trong nhiểu lĩnh vực ...,108000.0,Công Ty TNHH Thương Mại STK,2020-01-02 00:00:00,Bìa mềm,384.0,Nhà Xuất Bản Thanh Niên,16 x 24 cm,,
