,Unnamed: 0,Tên Sách,Ảnh bìa,Thể loại,Nội dung tóm tắt,Giá bìa,Kích thước,Số trang,Tác giả,Nhà Xuất Bản,Dịch giả,Nhà Phát Hành,Loại sản phẩm,Tên Sách.1,Ảnh bìa.1,Thể loại.1,Tác giả.1,Nội dung tóm tắt.1,Giá bìa.1,Công ty phát hành,Ngày xuất bản,Loại bìa,Số trang.1,Nhà xuất bản,Kích thước.1,Dịch Giả,Phiên bản
10,10,Yêu Theo Cung Hoàng Đạo,https://salt.tikicdn.com/cache/280x280/media/catalog/product/y/e/yeutheocunghoangdao.u5465.d20170908.t103723.312769.jpg,TỬ VI - CHIÊM TINH,"Yêu Theo Cung Hoàng Đạo là quyển sách cẩm nang sinh tồn trong tình yêu của các bạn trẻ, là một quyển sách vui nhộn, thẳng thắng đi vào vấn đề sẽ giúp bạn hiểu ai là người phù hợp với bạn và ai là ngườ...",67000.0,14 x 20.5 cm,334.0,Hazel Dixon - Cooper,,,,,Yêu Theo Cung Hoàng Đạo,https://salt.tikicdn.com/cache/280x280/media/catalog/product/y/e/yeutheocunghoangdao.u5465.d20170908.t103723.312769.jpg,TỬ VI - CHIÊM TINH,Hazel Dixon - Cooper,"Yêu Theo Cung Hoàng Đạo là quyển sách cẩm nang sinh tồn trong tình yêu của các bạn trẻ, là một quyển sách vui nhộn, thẳng thắng đi vào vấn đề sẽ giúp bạn hiểu ai là người phù hợp với bạn và ai là ngườ...",67000.0,Nhã Nam,2017-09-08 00:00:00,Bìa mềm,334.0,,14 x 20.5 cm,Trí Võ,
11,11,Giải Mã 12 Chòm Sao - Khám Phá Tất Tần Tật Cung Nhân Mã (Tái Bản 2019),https://salt.tikicdn.com/cache/280x280/ts/product/4a/6a/d3/ed62f6196cd18355fac81a9c43ab73e5.jpg,TỬ VI - CHIÊM TINH,"Cùng nhau bước vào hành trình khám phá: - Những điều cực thú vị về tính cách tiềm ẩn của bạn. - Hiểu hơn về sở thích, ưu điểm, nhược điểm của bản thân. - Hoàn thiện mình bằng cách phát huy các thế mạn...",17100.0,,,Nhiều Tác Giả,,,,,Giải Mã 12 Chòm Sao - Khám Phá Tất Tần Tật Cung Nhân Mã (Tái Bản 2019),https://salt.tikicdn.com/cache/280x280/ts/product/4a/6a/d3/ed62f6196cd18355fac81a9c43ab73e5.jpg,TỬ VI - CHIÊM TINH,Nhiều Tác Giả,"Cùng nhau bước vào hành trình khám phá: - Những điều cực thú vị về tính cách tiềm ẩn của bạn. - Hiểu hơn về sở thích, ưu điểm, nhược điểm của bản thân. - Hoàn thiện mình bằng cách phát huy các thế mạn...",17100.0, NXB Kim Đồng,,,,,,,
12,12,"12 Cung Yêu - Mặt Trời Soi Đường , Kim Tinh Dẫn Lối",https://salt.tikicdn.com/cache/280x280/ts/product/82/3d/ab/0500595b09f59e10e118ea6cc05cfd58.jpg,TỬ VI - CHIÊM TINH,"Cùng với Mặt Trời của 12 cung hoàng đạo, thì Kim Tinh (tên tiếng Anh là Venus, hành tinh chủ quản của tình yêu, của những mối quan hệ tình cảm) cũng sẽ hé lộ rất nhiều bí mật mà trái tim mỗi người vẫn...",68400.0,15 x 22 cm,192.0,"Khúc Cẩm Huyên,Toma Nguyễn",,,,,"12 Cung Yêu - Mặt Trời Soi Đường , Kim Tinh Dẫn Lối",https://salt.tikicdn.com/cache/280x280/ts/product/82/3d/ab/0500595b09f59e10e118ea6cc05cfd58.jpg,TỬ VI - CHIÊM TINH,"Khúc Cẩm Huyên,Toma Nguyễn","Cùng với Mặt Trời của 12 cung hoàng đạo, thì Kim Tinh (tên tiếng Anh là Venus, hành tinh chủ quản của tình yêu, của những mối quan hệ tình cảm) cũng sẽ hé lộ rất nhiều bí mật mà trái tim mỗi người vẫn...",68400.0,Nhà Xuất Bản Kim Đồng,2019-06-01 00:00:00,Bìa mềm,192.0,,15 x 22 cm,,
13,13,Mật Ngữ 12 Chòm Sao - Tập 2: Mật Ngữ Tình Yêu,https://salt.tikicdn.com/cache/280x280/media/catalog/product/9/7/970725_473813086039213_262516931_n.jpg,TỬ VI - CHIÊM TINH,"Mật Ngữ 12 Chòm Sao - Tập 2: Mật Ngữ Tình Yêu Vậy là một mùa hè đầy sôi động và rực rỡ đã đến, chắc các bạn đều đã chuẩn cho mình kế hoạch cho một kì nghỉ hè đầy thú vị. Những chuyến du lịch lí thú, ...",61500.0,12.5 x 20.5 cm,350.0,Asbooks biên soạn,,,,,Mật Ngữ 12 Chòm Sao - Tập 2: Mật Ngữ Tình Yêu,https://salt.tikicdn.com/cache/280x280/media/catalog/product/9/7/970725_473813086039213_262516931_n.jpg,TỬ VI - CHIÊM TINH,Asbooks biên soạn,"Mật Ngữ 12 Chòm Sao - Tập 2: Mật Ngữ Tình Yêu Vậy là một mùa hè đầy sôi động và rực rỡ đã đến, chắc các bạn đều đã chuẩn cho mình kế hoạch cho một kì nghỉ hè đầy thú vị. Những chuyến du lịch lí thú, ...",61500.0,Asbooks,2013-06-24 00:00:00,Bìa mềm,350.0,,12.5 x 20.5 cm,,
14,14,Thiên Yết - Tìm Hiểu Chòm Sao(24/10-22/11),https://salt.tikicdn.com/cache/280x280/media/catalog/producthttps://www.fahasa.com/static/image/600x600/228138.jpg,TỬ VI - CHIÊM TINH,"Bộ sách ""Tìm hiểu chòm sao"" phân tích và đưa ra những nhận định liên quan tới tính cách, tương lai và vận thế cuộc đời của 12 chòm sao khác nhau trong cung Hoàng Đạo. Cách suy luận về chòm s...",10000.0,,,Gia Linh,,,,,Thiên Yết - Tìm Hiểu Chòm Sao(24/10-22/11),https://salt.tikicdn.com/cache/280x280/media/catalog/producthttps://www.fahasa.com/static/image/600x600/228138.jpg,TỬ VI - CHIÊM TINH,Gia Linh,"Bộ sách ""Tìm hiểu chòm sao"" phân tích và đưa ra những nhận định liên quan tới tính cách, tương lai và vận thế cuộc đời của 12 chòm sao khác nhau trong cung Hoàng Đạo. Cách suy luận về chòm s...",10000.0,Huy Hoàng Bookstore,,,,Nhà Xuất Bản Hà Nội,,,
15,15,Kim Ngưu - Tìm Hiểu Chòm Sao Taurus (21/4-21/5),https://salt.tikicdn.com/cache/280x280/ts/product/f3/bd/43/a3e77274bda0af75b4e3880784192c44.jpg,TỬ VI - CHIÊM TINH,"Bộ sách ""Tìm hiểu chòm sao"" phân tích và đưa ra những nhận định liên quan tới tính cách, tương lai và vận thế cuộc đời của 12 chòm sao khác nhau trong cung Hoàng Đạo. Cách suy luận về chòm sao mà sách...",10000.0,,,Gia Linh,,,,,Kim Ngưu - Tìm Hiểu Chòm Sao Taurus (21/4-21/5),https://salt.tikicdn.com/cache/280x280/ts/product/f3/bd/43/a3e77274bda0af75b4e3880784192c44.jpg,TỬ VI - CHIÊM TINH,Gia Linh,"Bộ sách ""Tìm hiểu chòm sao"" phân tích và đưa ra những nhận định liên quan tới tính cách, tương lai và vận thế cuộc đời của 12 chòm sao khác nhau trong cung Hoàng Đạo. Cách suy luận về chòm sao mà sách...",10000.0,NXB Hà Nội,,,,,,,
16,16,Tử Bình Dễ Hiểu - Vượng Suy Pháp,https://salt.tikicdn.com/cache/280x280/ts/product/29/29/31/091c30e91df2b00136e5c0b8ec8b879a.jpg,TỬ VI - CHIÊM TINH,"Đây là cuốn sách ngắn gọn, súc tích và đầy đủ về Tử Bình, hay còn gọi là tứ trụ, bát tự với phương pháp xem mệnh cổ đại sử dụng thiên can địa chi của năm tháng ngày giờ sinh để nhận định về con người,...",199100.0,15 x 20.5 cm,308.0,Alex Alpha,,,,,Tử Bình Dễ Hiểu - Vượng Suy Pháp,https://salt.tikicdn.com/cache/280x280/ts/product/29/29/31/091c30e91df2b00136e5c0b8ec8b879a.jpg,TỬ VI - CHIÊM TINH,Alex Alpha,"Đây là cuốn sách ngắn gọn, súc tích và đầy đủ về Tử Bình, hay còn gọi là tứ trụ, bát tự với phương pháp xem mệnh cổ đại sử dụng thiên can địa chi của năm tháng ngày giờ sinh để nhận định về con người,...",199100.0,Sunbook,2021-05-15 00:00:00,Bìa mềm,308.0,Nhà Xuất Bản Thế Giới,15 x 20.5 cm,,
17,17,Giải Mã 12 Chòm Sao - Khám Phá Tất Tần Tật Cung Xử Nữ (Tái Bản 2019),https://salt.tikicdn.com/cache/280x280/ts/product/dc/9f/68/48a74dc204cec4fc2d0714ffbd7c8d47.jpg,TỬ VI - CHIÊM TINH,"Cùng nhau bước vào hành trình khám phá: - Những điều cực thú vị về tính cách tiềm ẩn của bạn. - Hiểu hơn về sở thích, ưu điểm, nhược điểm của bản thân. - Hoàn thiện mình bằng cách phát huy các thế mạn...",17100.0,,,Nhiều Tác Giả,,,,,Giải Mã 12 Chòm Sao - Khám Phá Tất Tần Tật Cung Xử Nữ (Tái Bản 2019),https://salt.tikicdn.com/cache/280x280/ts/product/dc/9f/68/48a74dc204cec4fc2d0714ffbd7c8d47.jpg,TỬ VI - CHIÊM TINH,Nhiều Tác Giả,"Cùng nhau bước vào hành trình khám phá: - Những điều cực thú vị về tính cách tiềm ẩn của bạn. - Hiểu hơn về sở thích, ưu điểm, nhược điểm của bản thân. - Hoàn thiện mình bằng cách phát huy các thế mạn...",17100.0, NXB Kim Đồng,,,,,,,
18,18,Giải Mã 12 Chòm Sao - Khám Phá Tất Tần Tật Cung Kim Ngưu (Tái Bản 2019),https://salt.tikicdn.com/cache/280x280/ts/product/de/67/ce/893a731f61be701ef307ef9a01aacb84.jpg,TỬ VI - CHIÊM TINH,"Cùng nhau bước vào hành trình khám phá: - Những điều cực thú vị về tính cách tiềm ẩn của bạn. - Hiểu hơn về sở thích, ưu điểm, nhược điểm của bản thân. - Hoàn thiện mình bằng cách phát huy các thế mạn...",17100.0,,,Nhiều Tác Giả,,,,,Giải Mã 12 Chòm Sao - Khám Phá Tất Tần Tật Cung Kim Ngưu (Tái Bản 2019),https://salt.tikicdn.com/cache/280x280/ts/product/de/67/ce/893a731f61be701ef307ef9a01aacb84.jpg,TỬ VI - CHIÊM TINH,Nhiều Tác Giả,"Cùng nhau bước vào hành trình khám phá: - Những điều cực thú vị về tính cách tiềm ẩn của bạn. - Hiểu hơn về sở thích, ưu điểm, nhược điểm của bản thân. - Hoàn thiện mình bằng cách phát huy các thế mạn...",17100.0, NXB Kim Đồng,,,,,,,
19,19,Định Hướng Sự Nghiệp Theo Chiêm Tinh Học - Cung Mọc Ma Kết,https://salt.tikicdn.com/cache/280x280/ts/product/8d/79/a4/123028f42a99b539c9c3678ebc7c6544.jpg,TỬ VI - CHIÊM TINH,"Bộ sách “ĐỊNH HƯỚNG SỰ NGHIỆP THEO CHIÊM TINH HỌC” ra đời với sứ mệnh giúp độc giả khám phá những tiềm năng còn ẩn giấu bên trong bản thân mình, qua đó có định hướng rõ ràng hơn về con đường lập thân,...",25000.0,14.5 x 18.5 cm,180.0,Nhóm Lovedia,,,,,Định Hướng Sự Nghiệp Theo Chiêm Tinh Học - Cung Mọc Ma Kết,https://salt.tikicdn.com/cache/280x280/ts/product/8d/79/a4/123028f42a99b539c9c3678ebc7c6544.jpg,TỬ VI - CHIÊM TINH,Nhóm Lovedia,"Bộ sách “ĐỊNH HƯỚNG SỰ NGHIỆP THEO CHIÊM TINH HỌC” ra đời với sứ mệnh giúp độc giả khám phá những tiềm năng còn ẩn giấu bên trong bản thân mình, qua đó có định hướng rõ ràng hơn về con đường lập thân,...",25000.0,Wings Books,2019-11-01 00:00:00,Bìa mềm,180.0,,14.5 x 18.5 cm,,
