,Tên Sách,Ảnh bìa,Thể loại,Tác giả,Nội dung tóm tắt,Giá bìa,Công ty phát hành,Ngày xuất bản,Kích thước,Loại bìa,Số trang,Nhà xuất bản,Dịch Giả,Phiên bản,Lưu ý,Thương hiệu
10,Ngữ Văn 11 - Tập 2 (2021),https://salt.tikicdn.com/cache/280x280/ts/product/a9/b3/97/7402c6309ed16b033ad640e8112dd0af.jpg,Cấp 3,Bộ Giáo Dục Và Đào Tạo,Ngữ Văn 11 - Tập 2 (2021)...,8000,Nhà xuất bản Giáo Dục,,,,,Nhà Xuất Bản Giáo Dục Việt Nam,,,,
11,Đại Số 10 (2021),https://salt.tikicdn.com/cache/280x280/ts/product/9a/b3/33/5bff302464208e2b0e17c189bc3e9a05.jpg,Cấp 3,Bộ Giáo Dục Và Đào Tạo,Đại Số 10 (2021)...,10000,Nhà xuất bản Giáo Dục,,,,,Nhà Xuất Bản Giáo Dục Việt Nam,,,,
12,Hoá Học 12 (2021),https://salt.tikicdn.com/cache/280x280/ts/product/c6/84/21/90727e3223aa3a98291a657ed6e15ef9.jpg,Cấp 3,Bộ Giáo Dục Và Đào Tạo,Hoá Học 12 (2021)...,17000,Nhà xuất bản Giáo Dục,,,,,Nhà Xuất Bản Giáo Dục Việt Nam,,,,
13,Giáo Dục Công Dân 12 (2021),https://salt.tikicdn.com/cache/280x280/ts/product/bc/5a/fb/5c97ca69ff23a687aa09ef903dff3f67.jpg,Cấp 3,Bộ Giáo Dục Và Đào Tạo,Giáo Dục Công Dân 12 (2021)...,7000,Nhà xuất bản Giáo Dục,,,,,Nhà Xuất Bản Giáo Dục Việt Nam,,,,
14,Tiếng Anh 10 - Tập 2 - Sách Học Sinh (2021),https://salt.tikicdn.com/cache/280x280/ts/product/8c/f4/c7/094484e20bd0ace0e37d1a6523410e26.jpg,Cấp 3,Bộ Giáo Dục Và Đào Tạo,Sách được biên soạn dựa trên cơ sở những kinh nghiệm thực tiễn của việc dạy tiếng Anh trung học phổ thông ở Việt Nam với sự hợp tác chặt chẽ về chuyên môn và kĩ thuật của Tập đoàn Xuất bản Giáo d...,30000,Cty Phương Nam,,,,,Nhà Xuất Bản Giáo Dục Việt Nam,,,,
15,Ngữ Văn 12 - Tập 2 (2021),https://salt.tikicdn.com/cache/280x280/ts/product/8c/bb/cc/5be1f08e136c70865bb94d0730dfc4b0.jpg,Cấp 3,Bộ Giáo Dục Và Đào Tạo,Ngữ Văn 12 - Tập 2 (2021)...,13000,Nhà xuất bản Giáo Dục,,,,,Nhà Xuất Bản Giáo Dục Việt Nam,,,,
16,Vật Lí 12 (2021),https://salt.tikicdn.com/cache/280x280/ts/product/6c/3e/ee/3af781c56018a227b397639cbea3e0e3.jpg,Cấp 3,Bộ Giáo Dục Và Đào Tạo,Vật Lí 12 (2021)...,17000,Nhà xuất bản Giáo Dục,,,,,Nhà Xuất Bản Giáo Dục Việt Nam,,,,
17,Sinh Học 12 (2021),https://salt.tikicdn.com/cache/280x280/ts/product/73/9f/53/ce0e13eae6d13136971c9d8824ce763a.jpg,Cấp 3,Bộ Giáo Dục Và Đào Tạo,Sinh Học 12 (2021)...,18000,Nhà xuất bản Giáo Dục,,,,,Nhà Xuất Bản Giáo Dục Việt Nam,,,,
18,Công Nghệ 12 (2021),https://salt.tikicdn.com/cache/280x280/ts/product/ee/36/6d/5cec24876bc76cd43305b8293d03cc64.jpg,Cấp 3,Bộ Giáo Dục Và Đào Tạo,Công Nghệ 12 (2021)...,10000,Nhà xuất bản Giáo Dục,,,,,Nhà Xuất Bản Giáo Dục Việt Nam,,,,
19,Tiếng Anh 10 - Tập 1 - Sách Học Sinh (2021),https://salt.tikicdn.com/cache/280x280/ts/product/94/da/82/3b46f246ec86fca8367f7f5eeb58b496.jpg,Cấp 3,Bộ Giáo Dục Và Đào Tạo,Sách được biên soạn dựa trên cơ sở những kinh nghiệm thực tiễn của việc dạy tiếng Anh trung học phổ thông ở Việt Nam với sự hợp tác chặt chẽ về chuyên môn và kĩ thuật của Tập đoàn Xuất bản Giáo d...,30000,Cty Phương Nam,,,,,Nhà Xuất Bản Giáo Dục Việt Nam,,,,
