,Unnamed: 0,Tên Sách,Ảnh bìa,Thể loại,Nội dung tóm tắt,Giá bìa,Kích thước,Số trang,Tác giả,Nhà Xuất Bản,Dịch giả,Nhà Phát Hành,Loại sản phẩm,Tên Sách.1,Ảnh bìa.1,Thể loại.1,Tác giả.1,Nội dung tóm tắt.1,Giá bìa.1,Công ty phát hành,Ngày xuất bản,Loại bìa,Số trang.1,Nhà xuất bản,Kích thước.1,Dịch Giả,Phiên bản
201,201,Giáo Trình Xã Hội Học Đại Cương,https://salt.tikicdn.com/cache/280x280/ts/product/4b/22/83/f1f57127a3e83e928d5ca7e4aecaa6ef.jpg,NHÂN VẬT - SỰ KIỆN ,"Lối tiếp cận xã hội học có thể hướng dẫn người học cách tổ chức suy nghĩ để đặt câu hỏi và hình thành câu trả lời về sự vận hành của xã hội. Đồng thời, xã hội học cũng giúp người học nhận thức rõ hơn ...",72000.0,14.5 x 20.5 cm,272.0,TS. Trương Thị Hiền,,,,,Giáo Trình Xã Hội Học Đại Cương,https://salt.tikicdn.com/cache/280x280/ts/product/4b/22/83/f1f57127a3e83e928d5ca7e4aecaa6ef.jpg,NHÂN VẬT - SỰ KIỆN ,TS. Trương Thị Hiền,"Lối tiếp cận xã hội học có thể hướng dẫn người học cách tổ chức suy nghĩ để đặt câu hỏi và hình thành câu trả lời về sự vận hành của xã hội. Đồng thời, xã hội học cũng giúp người học nhận thức rõ hơn ...",72000.0,Nhà xuất bản Tổng hợp TP.HCM ,2020-04-01 00:00:00,Bìa mềm,272.0,Nhà Xuất Bản Tổng hợp TP.HCM,14.5 x 20.5 cm,,
202,202,Khổng Tử - Mưu Lược Tung Hoành,https://salt.tikicdn.com/cache/280x280/ts/product/4c/4e/de/b6ce51441f794da0d7745ef126c82347.jpg,NHÂN VẬT - SỰ KIỆN ,"Ở Trung Quốc, Khổng Tử được gọi là bậc “thánh nhân”, người đời khoác cho ông rất nhiều vòng nguyệt quế, nhưng chủ yếu vẫn là nhà tư tưởng và nhà giáo dục. Và đặc biệt nhất là hậu thế vẫn tiếp nối nhau...",92000.0,,296.0,Chu Chính Thư,,,,,Khổng Tử - Mưu Lược Tung Hoành,https://salt.tikicdn.com/cache/280x280/ts/product/4c/4e/de/b6ce51441f794da0d7745ef126c82347.jpg,NHÂN VẬT - SỰ KIỆN ,Chu Chính Thư,"Ở Trung Quốc, Khổng Tử được gọi là bậc “thánh nhân”, người đời khoác cho ông rất nhiều vòng nguyệt quế, nhưng chủ yếu vẫn là nhà tư tưởng và nhà giáo dục. Và đặc biệt nhất là hậu thế vẫn tiếp nối nhau...",92000.0,VanLangBooks,2020-03-01 00:00:00,Bìa mềm,296.0,Nhà Xuất Bản Thanh Hóa,,Thành Khang,
203,203,Đoàn Tử Huyến - 108 nhà văn thế kỷ XX - XXI,https://salt.tikicdn.com/cache/280x280/ts/product/6a/db/68/7c72711f1b86f323f67510307a87d341.jpg,NHÂN VẬT - SỰ KIỆN ,"Nằm trong loạt sách tư liệu, phổ biến kiến thức phổ thông cho đông đảo bạn đọc mà Trung tâm Văn hóa Ngôn ngữ Đông Tây đã và đang đang tiếp tục thực hiện, với đối tượng chính là các bạn đang học, nghiê...",95000.0,,666.0,Đoàn Tử Huyến (chủ biên),,,,,Đoàn Tử Huyến - 108 nhà văn thế kỷ XX - XXI,https://salt.tikicdn.com/cache/280x280/ts/product/6a/db/68/7c72711f1b86f323f67510307a87d341.jpg,NHÂN VẬT - SỰ KIỆN ,Đoàn Tử Huyến (chủ biên),"Nằm trong loạt sách tư liệu, phổ biến kiến thức phổ thông cho đông đảo bạn đọc mà Trung tâm Văn hóa Ngôn ngữ Đông Tây đã và đang đang tiếp tục thực hiện, với đối tượng chính là các bạn đang học, nghiê...",95000.0,Công Ty TNHH Văn Hóa Đông Tây,2011-06-01 09:12:06,Bìa mềm,666.0,Nhà Xuất Bản Lao Động,,,Tiếng Việt
204,204,44 Đời Tổng Thống Hoa Kỳ (Tái Bản 2018),https://salt.tikicdn.com/cache/280x280/ts/product/b3/f5/c6/55ba787f74b3cd29b045c44b0e13b8e6.jpg,NHÂN VẬT - SỰ KIỆN ,"44 Đời Tổng Thống Hoa Kỳ (Tái Bản 2018) là một bộ cẩm nang đồ sộ dày hơn 1500 trang, không chỉ dừng lại ở việc mô tả sâu sát, khách quan, không thiên kiến về cuộc đời, hoạt động chính trường, bạn bè, ...",417000.0,16 x 24 cm,1508.0,William A. Degregorio,,,,,44 Đời Tổng Thống Hoa Kỳ (Tái Bản 2018),https://salt.tikicdn.com/cache/280x280/ts/product/b3/f5/c6/55ba787f74b3cd29b045c44b0e13b8e6.jpg,NHÂN VẬT - SỰ KIỆN ,William A. Degregorio,"44 Đời Tổng Thống Hoa Kỳ (Tái Bản 2018) là một bộ cẩm nang đồ sộ dày hơn 1500 trang, không chỉ dừng lại ở việc mô tả sâu sát, khách quan, không thiên kiến về cuộc đời, hoạt động chính trường, bạn bè, ...",417000.0,Omega Plus,,Bìa mềm,1508.0,Nhà Xuất Bản Thế Giới,16 x 24 cm,Nhóm dịch Tiến sĩ Nguyễn Hoàng Điệp và Đặng Việt Vinh,
205,205,Combo Sách Người Có Tầm Ảnh Hưởng: Beethoven: Âm Nhạc Và Cuộc Đời + Machiavelli ,https://salt.tikicdn.com/cache/280x280/ts/product/dd/e0/db/a711e743632d3bce7cf79947dad6f065.JPG,NHÂN VẬT - SỰ KIỆN ,"MachiavelliÔng ấy là cây bút chuyên viết về chính trị tai tiếng nhất, mà cũng có ảnh hưởng sâu sắc nhất mọi thời đại. Tên ông – Machiavelli – được đưa vào từ điển với nghĩa “âm mưu hiểm độc” và đeo đ...",477000.0,,,"Miles J. Unger,Lewis Lockwood",,,,,Combo Sách Người Có Tầm Ảnh Hưởng: Beethoven: Âm Nhạc Và Cuộc Đời + Machiavelli ,https://salt.tikicdn.com/cache/280x280/ts/product/dd/e0/db/a711e743632d3bce7cf79947dad6f065.JPG,NHÂN VẬT - SỰ KIỆN ,"Miles J. Unger,Lewis Lockwood","MachiavelliÔng ấy là cây bút chuyên viết về chính trị tai tiếng nhất, mà cũng có ảnh hưởng sâu sắc nhất mọi thời đại. Tên ông – Machiavelli – được đưa vào từ điển với nghĩa “âm mưu hiểm độc” và đeo đ...",477000.0,Alphabooks,,Bìa cứng,,Nhà Xuất Bản Dân Trí,,,
206,206,Nguyễn Thị Tây Sơn Ký,https://salt.tikicdn.com/cache/280x280/ts/product/f3/67/ac/5f97d6b6f96a8a29b81c4ada445bbdae.jpg,NHÂN VẬT - SỰ KIỆN ,"Nguyễn Thị Tây Sơn KýSố tài liệu lưu trữ trong Thư viện của Đại học Yale có một cuốn sách chép tay nhan đề Nguyễn thị Tây Sơn ký, nội dung về đời Tây Sơn (ký hiệu A. 3138), tiền chủ nhân vốn là học gi...",64000.0,14.5 x 20.5 cm,208.0,"Khuyết Danh,Nguyễn Duy Chính",,,,,Nguyễn Thị Tây Sơn Ký,https://salt.tikicdn.com/cache/280x280/ts/product/f3/67/ac/5f97d6b6f96a8a29b81c4ada445bbdae.jpg,NHÂN VẬT - SỰ KIỆN ,"Khuyết Danh,Nguyễn Duy Chính","Nguyễn Thị Tây Sơn KýSố tài liệu lưu trữ trong Thư viện của Đại học Yale có một cuốn sách chép tay nhan đề Nguyễn thị Tây Sơn ký, nội dung về đời Tây Sơn (ký hiệu A. 3138), tiền chủ nhân vốn là học gi...",64000.0,Nhà xuất bản Tổng hợp TP.HCM ,2020-02-01 00:00:00,Bìa mềm,208.0,Nhà Xuất Bản Tổng hợp TP.HCM,14.5 x 20.5 cm,,
207,207,Combo Tư Duy Như Churchill + Steve Jobs + Sherlock Holmes + Sigmund Freud (4 Cuốn),https://salt.tikicdn.com/cache/280x280/ts/product/10/62/dd/40fbc905caaea4267fa94f907effa8ba.jpg,NHÂN VẬT - SỰ KIỆN ,Tư Duy Như ChurchillTheo chân một trong những vĩ nhân của thế kỉ 20 và bạn sẽ học được cách để:• Lãnh đạo với tầm nhìn sâu rộng• Nuôi dưỡng tham vọng• Để lại di sản cho hậu thế• Mài giũa hệ tư tưởng• ...,202300.0,13 x 20 cm,,Daniel Smith,,,,,Combo Tư Duy Như Churchill + Steve Jobs + Sherlock Holmes + Sigmund Freud (4 Cuốn),https://salt.tikicdn.com/cache/280x280/ts/product/10/62/dd/40fbc905caaea4267fa94f907effa8ba.jpg,NHÂN VẬT - SỰ KIỆN ,Daniel Smith,Tư Duy Như ChurchillTheo chân một trong những vĩ nhân của thế kỉ 20 và bạn sẽ học được cách để:• Lãnh đạo với tầm nhìn sâu rộng• Nuôi dưỡng tham vọng• Để lại di sản cho hậu thế• Mài giũa hệ tư tưởng• ...,202300.0,Nhà Xuất Bản Kim Đồng,2020-01-02 00:00:00,Bìa mềm,,Nhà Xuất Bản Kim Đồng,13 x 20 cm,,
208,208,Những Câu Chuyện Về 50 Người Nổi Tiếng,https://salt.tikicdn.com/cache/280x280/ts/product/3c/89/3c/6166d47287183a9c02ffaf6ea5df62da.jpg,NHÂN VẬT - SỰ KIỆN ,"Cuốn sách là tập hợp các câu chuyện dân gian hoặc mang tính lịch sử từ di sản văn hóa Phương Tây do tác giả tuyển lựa kỹ càng và kể lại một cách trung thực,hấp dẫn.Rất nhiều câu chuyện trong đây đã tr...",42000.0,14.5 x 20.5 cm,207.0,James Baldwin,,,,,Những Câu Chuyện Về 50 Người Nổi Tiếng,https://salt.tikicdn.com/cache/280x280/ts/product/3c/89/3c/6166d47287183a9c02ffaf6ea5df62da.jpg,NHÂN VẬT - SỰ KIỆN ,James Baldwin,"Cuốn sách là tập hợp các câu chuyện dân gian hoặc mang tính lịch sử từ di sản văn hóa Phương Tây do tác giả tuyển lựa kỹ càng và kể lại một cách trung thực,hấp dẫn.Rất nhiều câu chuyện trong đây đã tr...",42000.0,Công Ty TNHH Văn Hóa Đông Tây,2020-04-04 00:00:00,Bìa mềm,207.0,Nhà Xuất Bản Thanh Niên,14.5 x 20.5 cm,Nguyễn Ngoan,
209,209,Who? Chuyện Kể Về Danh Nhân Thế Giới - Mahatma Gandhi,https://salt.tikicdn.com/cache/280x280/ts/product/ef/7d/02/ce1abde57dea7ab3fcb951ae19cd1ffa.jpg,NHÂN VẬT - SỰ KIỆN ,"Những câu chuyện về cuộc đời và sự nghiệp vĩ đại của các danh nhân sẽ đem đến cho các em những ước mơ và hoài bão cao đẹp!Mahatma Gandhi – Linh hồn vĩ đại, người đã cống hiến trọn đời cho sự hòa hợp ...",55000.0,,172.0,"Oh Youngseok,Lee Jongwon",,,,,Who? Chuyện Kể Về Danh Nhân Thế Giới - Mahatma Gandhi,https://salt.tikicdn.com/cache/280x280/ts/product/ef/7d/02/ce1abde57dea7ab3fcb951ae19cd1ffa.jpg,NHÂN VẬT - SỰ KIỆN ,"Oh Youngseok,Lee Jongwon","Những câu chuyện về cuộc đời và sự nghiệp vĩ đại của các danh nhân sẽ đem đến cho các em những ước mơ và hoài bão cao đẹp!Mahatma Gandhi – Linh hồn vĩ đại, người đã cống hiến trọn đời cho sự hòa hợp ...",55000.0,Nhà Xuất Bản Kim Đồng,2018-01-01 00:00:00,Paperback,172.0,,,,
210,210,Trần Văn Khê - Tâm Và Nghiệp,https://salt.tikicdn.com/cache/280x280/media/catalog/product/b/i/bia_tran van khe_tam va nghiep_out convert-01.u335.d20160628.t114431.jpg,NHÂN VẬT - SỰ KIỆN ,"Trần Văn Khê - Tâm Và Nghiệp Thời gian như đưa thoi, nhanh hơn cả một mũi tên. Mới đó mà đã một năm ngày GSTS Trần Văn Khê - một con người đặc biệt, một bậc thầy lớn, một  học giả và hành giả chân ch...",88000.0,18 x 18 cm,296.0,Nhiều Tác Giả,,,,,Trần Văn Khê - Tâm Và Nghiệp,https://salt.tikicdn.com/cache/280x280/media/catalog/product/b/i/bia_tran van khe_tam va nghiep_out convert-01.u335.d20160628.t114431.jpg,NHÂN VẬT - SỰ KIỆN ,Nhiều Tác Giả,"Trần Văn Khê - Tâm Và Nghiệp Thời gian như đưa thoi, nhanh hơn cả một mũi tên. Mới đó mà đã một năm ngày GSTS Trần Văn Khê - một con người đặc biệt, một bậc thầy lớn, một  học giả và hành giả chân ch...",88000.0,Thái Hà,2016-06-28 00:00:00,,296.0,,18 x 18 cm,,
