,Tên Sách,Ảnh bìa,Thể loại,Tác giả,Nội dung tóm tắt,Giá bìa,Công ty phát hành,Ngày xuất bản,Kích thước,Loại bìa,Số trang,Nhà xuất bản,Dịch Giả,Phiên bản,Lưu ý
10,Muôn Kiếp Nhân Sinh (Khổ Nhỏ),https://salt.tikicdn.com/cache/280x280/ts/product/76/7a/77/69f731e145d34d55d6ba5a8feb6101c8.jpg,- Kiến thức tôn giáo,Nguyên Phong,"“Muôn kiếp nhân sinh” mang lại cho bạn đọc kho kiến thức đồ sộ và mới mẻ, những câu chuyện kỳ lạ, những kiến giải uyên bác và tiên đoán bất ngờ về hiện tại và tương lai của con người và thế giới. Thô...",76400,First News - Trí Việt,2020-10-01 00:00:00,11.5 x 16.5 cm,Bìa gập,482,Nhà Xuất Bản Tổng hợp TP.HCM,,,
11,Muôn Kiếp Nhân Sinh 2 (Khổ Nhỏ),https://salt.tikicdn.com/cache/280x280/ts/product/63/8f/a1/f03610f3b5343e5b94b0c95b1dd420d1.jpg,- Kiến thức tôn giáo,Nguyên Phong,CUỐN SÁCH CỦA NHỮNG CÁNH BƯỚM RUNG ĐỘNGTác phẩm Muôn Kiếp Nhân Sinh tập 1 của tác giả Nguyên Phong xuất bản giữa tâm điểm của đại dịch đã thực sự tạo nên một hiện tượng xuất bản hiếm có ở Việt Nam. C...,112400,First News - Trí Việt,2021-07-15 00:00:00,11.5 x 16.5 cm,Bìa mềm,672,Nhà Xuất Bản Tổng hợp TP.HCM,,,
12,Thiền Sư Và Em Bé 5 Tuổi,https://salt.tikicdn.com/cache/280x280/ts/product/40/50/4f/c66154af241f021f345fb3c53a70f57d.jpg,- Kiến thức tôn giáo,Thích Nhất Hạnh,"Trong lòng chúng ta ai cũng có một em bé đang đau khổ. Ai cũng có một thời gian khó khăn khi còn thơ ấu và nhiều người đã trải qua những chấn động tâm lý, những tổn thương lớn mà vết thương còn lưu lạ...",82100,Saigon Books,2020-10-01 00:00:00,13 x 20.5 cm,Bìa mềm,232,Nhà Xuất Bản Dân Trí,"Chân Hội Nghiêm, Chân Duyệt Nghiêm, Đông Phong",,
13,Sức Mạnh Của Tĩnh Lặng (Tái Bản 2020),https://salt.tikicdn.com/cache/280x280/ts/product/d5/a0/ff/6b76d7be9aebd04897db41f1cf0533fa.jpg,- Kiến thức tôn giáo,Eckhart Tolle,"Sức mạnh của tĩnh lặng là tác phẩm tâm linh rất ngắn ngọn nhưng sâu sắc của Eckhart Tolle, tác giả được The New York Times bình chọn là một trong những tác giả có sách bán chạy nhất. Đây là một cuốn s...",55000,First News - Trí Việt,,14.5 x 20.5 cm,Bìa mềm,152,Nhà Xuất Bản Tổng hợp TP.HCM,Nguyễn Văn Hạnh,,
14,Năng Đoạn Kim Cương (Tái Bản 2020),https://salt.tikicdn.com/cache/280x280/ts/product/c5/05/c2/2f73bd2bc3e2cae1026969f83db6362b.jpg,- Kiến thức tôn giáo,Geshe Michael Roach,Cuốn sách này là sự kết hợp độc đáo và kỳ ảo giữa trí tuệ của Phật giáo Tây Tạng áp dụng vào hoạt động kinh doanh. Năng đoạn Kim Cương mang đầy tính triết lý thâm sâu và vô cùng cần thiết cho sự thành...,84800,Thái Hà,,15.5 x 24 cm,Bìa mềm,348,Nhà Xuất Bản Lao Động,,,
15,Sách muôn kiếp nhân sinh tập 2 tặng bookmark Vadata,https://salt.tikicdn.com/cache/280x280/ts/product/f2/ad/27/f1b98cb6ba7ebe3868d1dec642c916b3.jpeg,- Kiến thức tôn giáo,Nguyên Phong,CUỐN SÁCH CỦA NHỮNG CÁNH BƯỚM RUNG ĐỘNGTác phẩm Muôn Kiếp Nhân Sinh tập 1 của tác giả Nguyên Phong xuất bản giữa tâm điểm của đại dịch đã thực sự tạo nên một hiện tượng xuất bản hiếm có ở Việt Nam. C...,222000,First News - Trí Việt,2021-05-06 10:57:53,,Bìa mềm,540,Nhà Xuất Bản Tổng hợp TP.HCM,,Thường,
16,Combo 2 Cuốn : Muôn Kiếp Nhân Sinh + Hành Trình Về Phương Đông,https://salt.tikicdn.com/cache/280x280/ts/product/e9/a2/81/6f7b30106545db0d7aed4b22709d9547.jpg,- Kiến thức tôn giáo,Nguyên Phong,"“Muôn kiếp nhân sinh” là tác phẩm do Giáo sư John Vũ - Nguyên Phong viết từ năm 2017 và hoàn tất đầu năm 2020 ghi lại những câu chuyện, trải nghiệm tiền kiếp kỳ lạ từ nhiều kiếp sống của người bạn tâm...",201700,First News - Trí Việt,,14.5 x 20.5 cm,Bìa gập,,Nhà Xuất Bản Tổng Hợp,,,
17,Lược Sử Tôn Giáo,https://salt.tikicdn.com/cache/280x280/ts/product/5c/69/27/5a19171b7de6d9b6b2c4ecbf9c005f19.jpg,- Kiến thức tôn giáo,Richard Holloway,Hơn bảy tỷ người trên thế giới có thể viết một thứ gì đó khác chữ “Không” vào mục Tôn giáo trong hồ sơ của mình. Một số sinh ra đã theo một tôn giáo được chọn sẵn; số khác có thể tự lựa chọn theo sở t...,96200,Nhã Nam,2019-08-01 00:00:00,15.5 x 24 cm,Bìa mềm,308,,,,
18,Thiền Osho,https://salt.tikicdn.com/cache/280x280/ts/product/68/c8/a8/01916f47f8d97520e2e7561d3cafc7c4.jpg,- Kiến thức tôn giáo,Nhiều Tác Giả,"Thái Hà Books trân trọng giới thiệu tới bạn đọc bộ sách gồm 5 cuốn của Osho: Đạo, Đức Phật, Thiền, Tantra và Upanishad. THIỀN Thiền là một bước phát triển phi thường. Hiếm khi một khả năng như vậy trở...",98300,Thái Hà,2019-07-10 10:37:25,,Bìa mềm,290,,Lê Xuân Khoa,Tái Bản,
19,Kinh Yoga Của Patanjali,https://salt.tikicdn.com/cache/280x280/ts/product/b8/53/8e/ac2372b8a8f4cebb20a61f880784dd7b.jpg,- Kiến thức tôn giáo,Sri Sri Ravi Shankar,Sutra (trong tiếng Phạn) nghĩa đen là một sợi chỉ hay một sợi dây buộc chặt mọi thứ lại với nhau. Nó ẩn dụ cho những lời nói sâu sắc uyên thâm. Kinh Yoga của Patanjali là một bộ kinh gồm 196 câu được ...,66900,Thái Hà,2021-04-01 00:00:00,14 x 20 cm,Bìa mềm,212,Nhà Xuất Bản Thế Giới,Kim Lang Lê,,
