,Tên Sách,Ảnh bìa,Thể loại,Tác giả,Nội dung tóm tắt,Giá bìa,Công ty phát hành,Ngày xuất bản,Loại bìa,Số trang,Nhà xuất bản,Kích thước,Dịch Giả,Phiên bản
65,Dành Cả Thanh Xuân Để Chạy Theo Idol,https://salt.tikicdn.com/cache/280x280/ts/product/6b/d4/1c/36a77ce912a9b606d43e81655e06caae.jpg,Chăm sóc sức khỏe,Hồng Trân,"Tuổi trẻ là khoảng thời gian đẹp nhất của đời người, chính vì vậy chúng ta thường dành nó để theo đuổi những gì mà chúng ta yêu thích nhất.Cuốn sách kể về hành trình của một cô gái trẻ cố gắng thực h...",73000,Chibooks,2019-06-01 00:00:00,Bìa mềm,184,,13 x 20 cm,,
66,Đạp Xe Vì Tình Từ Ấn Sang Âu,https://salt.tikicdn.com/cache/280x280/media/catalog/product/d/a/dap-xe-vi-tinh-tu-an-sang-au-1.u5430.d20171025.t171935.86876.jpg,Chăm sóc sức khỏe,Per J Andersson,"Đạp Xe Vì Tình Từ Ấn Sang Âu Vào ngày 22 tháng 1 năm 1977, chàng trai trẻ Mahanandia, khi đó 24 tuổi, đã bắt đầu hành trình bằng xe đạp kéo dài 4 tháng từ thành phố Delhi, Ấn Độ đến thị trấn Boras, T...",75600,First News - Trí Việt,2017-10-01 00:00:00,Bìa mềm,360,Nhà Xuất Bản Tổng hợp TP.HCM,"14.5 x 20.5 cm
",Đăng Thư,
67,Combo Sách Cho Người Đam Mê Với Những Chuyến Đi : Đi Bộ Xuyên Việt Với Cây Đàn Guitar + Du Ký Xanh - Hành Trình Cứu Biển + Đi Rong Trên Những Múi Giờ + Đi Như Tờ Giấy Trắng + Đá Nhọn Vực Sâu,https://salt.tikicdn.com/cache/280x280/ts/product/48/d6/d4/4ba63ef815ba12cafb5ae5496452115c.JPG,Chăm sóc sức khỏe,nhieu tac gia,"Đi Bộ Xuyên Việt Với Cây Đàn GuitarĐi bộ xuyên Việt với hành trang là cây đàn guitar và không đồng trong túi là một quyết định hẳn nhiều người sẽ cho là điên rồ. Nhưng với Hồ Nhật Hà, đó lại hành trì...",338800,Alphabooks,,Bìa mềm,,Nhà Xuất Bản Thanh Niên,,,
68,Namaskar! Xin Chào Ấn Độ (Tái Bản 2020),https://salt.tikicdn.com/cache/280x280/ts/product/90/8a/59/13f28e8de1397abd1b2320b701a3c549.jpg,Chăm sóc sức khỏe,Hồ Anh Thái,"Namaskar! Xin chào Ấn Độ của Hồ Anh Thái được xuất bản lần đầu vào năm 2008, nay được Nxb. Trẻ tái bản lại cùng lúc với cuốn Salam! Chào Ba Tư – một sáng tác mới của tác giả, làm thành ...",110500,NXB Trẻ,,,,NXB Trẻ,,,
69,Sách - Thế Giới Rộng Lớn Đừng Đi Một Mình,https://salt.tikicdn.com/cache/280x280/ts/product/b3/06/04/2f1be2e16ead33a896d17963c93a4127.jpg,Chăm sóc sức khỏe,Lý Thành Cơ,"       Tên sách: Thế giới rộng lớn đừng đi một mình   Tác giả: Lý Thành Cơ   Thể loại: sách du lịch   Khổ: 14,5x20,5cm   Số trang: 208 trang   Giá bìa: 96.000đ   Nhà xuất bản Phụ Nữ   ISBN:...",91000,Skybooks,,,208,Nhà Xuất Bản Phụ Nữ,,,
70,"Nước Ý, Câu Chuyện Tình Của Tôi (Tái Bản)",https://salt.tikicdn.com/cache/280x280/media/catalog/product/n/u/nuoc-y-cau-chuyen-tinh-cua-toi_2.u5131.d20170424.t224958.527843.jpg,Chăm sóc sức khỏe,Trương Anh Ngọc,"Nước Ý, Câu Chuyện Tình Của Tôi (Tái Bản) “Nước Ý, câu chuyện tình của tôi” là cuốn sách dành cho “người tình” của tác giả: Italia xinh đẹp, lãng mạn, đa tình và cuồng nhiệt. Mối tình của Trương Anh ...",65000,Nhã Nam,2017-04-01 00:00:00,Bìa mềm,,Nhà Xuất Bản Thế Giới,14.5 x 20.5 cm,,2017
71,Trái Tim Trên Những Con Đường,https://salt.tikicdn.com/cache/280x280/media/catalog/product/b/t/btt.u3059.d20170515.t160033.821356.jpg,Chăm sóc sức khỏe,Mai Thanh Nga,"Trái Tim Trên Những Con Đường   Đây là cuốn du ký tập hợp những bài viết của về những chuyến đi của tác giả, tác giả viết về những chuyến đi của tuổi trẻ, vòng quanh châu Âu và cả Ai Cập, Thổ Nhĩ Kỳ...",77430,Quảng Văn,2017-05-01 00:00:00,Bìa mềm,320,,13.5 x 20.5 cm,,
72,Bộ 2 cuốn sách hay về phóng sự du ký: Hoàng Đế - Phương Đông Lướt Ngoài Của Sổ,https://salt.tikicdn.com/cache/280x280/ts/product/91/d6/e7/31e826174dee4d9b68f51a58f15f4fd6.png,Chăm sóc sức khỏe,"Ryszard Kapuściński,Paul Theroux","Bộ 2 cuốn sách hay về phóng sự du ký: Hoàng Đế - Phương Đông Lướt Ngoài Của SổHoàng ĐếHoàng Đế là cuốn sách không chỉ mở đầu sự nghiệp quốc tế của phóng sự gia tầm cỡ nhất Ba Lan, mà còn đưa thể...",177995,Thái Hà,2019-01-16 14:55:58,Bìa mềm,,,"<p>13 x 20.5 cm</p>
<p>14 x 20.5 cm</p>",,
73,Thế Giới Rộng Lớn Đừng Đi Một Mình - Tặng Kèm Sổ Tay,https://salt.tikicdn.com/cache/280x280/ts/product/e2/cc/0f/38e2f2b7d650f387493a50515618f1cb.jpg,Chăm sóc sức khỏe,Lý Thành Cơ,"Sợ thì sợ, nhưng nếu cứ sống mãi trong vùng sợ, liệu chúng ta có biết được tuổi trẻ của mình dài bao nhiêu?""Càng lớn, con người càng đem theo bên mình nhiều nỗi sợ. Sợ thất nghiệp, thất tình, sự nghiệ...",91000,Skybooks,,Bìa mềm,208,,<p>14.5 x 20.5 cm</p>,,
74,Từ Ba Tư Đến Bắc Mỹ,https://salt.tikicdn.com/cache/280x280/ts/product/59/40/52/611fbc25ffbef78a688844ec173db829.jpg,Chăm sóc sức khỏe,Hoàng Minh Tường,"Tập hợp ba kí sự nổi tiếng : Ngược nguồn chữ Việt, Canada màu phong đỏ, 60 ngày ở Mỹ, Từ Ba Tư đến Bắc Mỹ sẽ đem đến cho bạn đọc sự phiêu du kỳ thú từ Đông sang Tây, từ nền văn minh cổ đại đến thế giớ...",118000,NXB Phụ Nữ Việt Nam,2019-06-01 00:00:00,Bìa mềm,245,Nhà Xuất Bản Phụ Nữ,13.5 x 21 cm,,
75,Kí Sự Đi Tây,https://salt.tikicdn.com/cache/280x280/ts/product/73/7e/97/e4769578e23bbf50607dfb698c9d3db2.jpg,Chăm sóc sức khỏe,Đỗ Kh.,"Kí Sự Đi TâyĐỗ Kh. Sinh năm 1955 ở Hải Phòng, nguyên quán Nam Định. Lớn lên ở Sài Gòn. 1966, thực tập sinh đánh giày vỉa hè Lê Lợi - Tự Do (ra tới bến tàu). 1975, tốt nghiệp (hạng xoàng) khóa an ninh...",68000,Domino Books,2019-05-01 00:00:00,Bìa mềm,192,,13 x 20.5 cm,,
76,Thích Là Nhích,https://salt.tikicdn.com/cache/280x280/ts/product/c9/77/aa/1c0d163d6e2a87adb77dc49d07de2dab.jpg,Chăm sóc sức khỏe,Alex Tu,"Thích Là NhíchLà một người theo chủ nghĩa tối giản, tài sản chính của nữ tác giả Alex Tu chỉ có hai ổ cứng, một máy ảnh FujiFilm, một ba...",96000,Saigon Books,2017-10-01 11:28:36,Bìa mềm,231,,<p>18 x 21 cm</p>,,
77,Về Nơi Có Nhiều Cánh Đồng,https://salt.tikicdn.com/cache/280x280/ts/product/7a/c7/d3/fecb90ed6132e55fbe9381ab283fcc40.jpg,Chăm sóc sức khỏe,Phan,"Về nơi có nhiều cánh đồng là cuốn du ký hoạ mới nhất của Lê Phan (Câu lạc bộ nghiên cứu bí ẩn, Xứ Mèo). Đây là tuyển tập ghi chép bằng tranh những câu chuyện thú vị trong hành trình di cư từ thàn...",100000,,,,,Nhà Xuất Bản Văn Hóa Văn Nghệ,,,
78,Cẩm Nang Cuộc Sống Tại Nhật Bản - 1001 Thông Tin Bạn Cần Biết Khi Tới Nhật Bản (Sách Song Ngữ),https://salt.tikicdn.com/cache/280x280/ts/product/c8/ed/bc/ea1588b5704a0d314cc4cd266bfae434.jpg,Chăm sóc sức khỏe,Công ty Cổ phần Pocket biên soạn,"CẨM NANG CUỘC SỐNG TẠI NHẬT BẢN - 1001 thông tin bạn cần biết khi tới Nhật BảnHiện nay, số lượng các bạn trẻ Việt Nam có mong muốn đi du học, tìm kiếm cơ hội việc làm tại Nhật Bản ngày càng tăng. Mặc...",87200,FlyBooks,2021-10-01 00:00:00,Bìa mềm,336,Nhà Xuất Bản Thế Giới,14.5 x 20.5 cm,,
79,Combo Sách Du Ký Hay : Đi Bộ Xuyên Việt Với Cây Đàn Guitar + Du Ký Xanh - Hành Trình Cứu Biển,https://salt.tikicdn.com/cache/280x280/ts/product/be/d4/76/b33be978586aae08a1f489333c8437e1.JPG,Chăm sóc sức khỏe,"Hồ Nhật Hà,Lekima Hùng","Đi Bộ Xuyên Việt Với Cây Đàn GuitarĐi bộ xuyên Việt với hành trang là cây đàn guitar và không đồng trong túi là một quyết định hẳn nhiều người sẽ cho là điên rồ. Nhưng với Hồ Nhật Hà, đó lại hành trì...",153600,Alphabooks,,Bìa mềm,,Nhà Xuất Bản Thanh Niên,,,
80,Châu Âu Có Gì Lạ Không Em? - Tặng kèm sổ tay,https://salt.tikicdn.com/cache/280x280/ts/product/fb/b0/c5/eb760b480977460588cf48d92af3a6bf.jpg,Chăm sóc sức khỏe,Misa Gjone,"Cuốn sách là những ghi chép và mô tả của tác giả về hành trình du lịch của bản thân qua một số quốc gia châu Âu, từ đó chia sẻ những trải nghiệm chân thực và mới mẻ về văn hóa, lịch sử, ẩm thực và con...",76000,Alphabooks,2019-07-16 22:54:14,Bìa mềm,452,Nhà Xuất Bản Thế Giới,<p>13 x 20.5 cm</p>,,
81,Gulliver Du Ký Tập 1 - Chuyến Hải Trình Tới Lilliput (Song Ngữ Anh - Việt),https://salt.tikicdn.com/cache/280x280/ts/product/0e/20/0c/bbb657329ca8d988fbfc9c1411629dad.jpg,Chăm sóc sức khỏe,Johnathan Swift,Gulliver du ký (Gulliver’s Travels) của Johnathan Swift ra đời tại Anh vào đầu thế kỷ 18. Đây là tiểu thuyết viễn tưởng kể về cuộc hành trình kỳ lạ nhưng vô cùng tuyệt vời của chàng bác sĩ – thủy thủ ...,100000,CÔNG TY CỔ PHẦN GIÁO DỤC SPUTNIK,2020-07-01 00:00:00,Bìa mềm,236,Nhà Xuất Bản Thông Tin Và Truyền Thông,,,
82,Đá Nhọn Vực Sâu,https://salt.tikicdn.com/cache/280x280/ts/product/92/58/98/5ac51314d859e99bb1e6cc2221fbde87.jpg,Chăm sóc sức khỏe,Nguyễn Vân Anh.,"            Đá Nhọn Vực Sâu        Cuốn sách viết về trải nghiệm Sơn Đoòng của tác giả Vân Anh – một người tên tuổi trong hoạt động về giới, phụ nữ, trẻ em    ở Việt Nam. Thông qua những gì đã ...",79200,Alphabooks,2018-01-01 00:00:00,Bìa mềm,88,,20 x 20 cm,,
83,"Sách - Nghe đến nơi, hiểu đến chốn (tặng kèm bookmark thiết kế)",https://salt.tikicdn.com/cache/280x280/ts/product/5a/ae/14/735e89c58d3bf114f308b2101490fa90.jpg,Chăm sóc sức khỏe,Nhiều Tác Giả,"       Tác giả: NICOLAS LAFITTE - BERTRAND FICHOU.   Minh họa: PASCAL LEMAITRE   Dịch giả: Châu Giang , Châu Anh   Nhà xuất bản: Thế Giới   Số trang: 78   Kích thước: 19.5x 28.5 cm   Ngày ph...",74880,Nhã Nam,,,,Nhà Xuất Bản Thế Giới,,,
84,Đừng Chết Ở Ả Rập Xê Út - Tặng kèm sổ tay,https://salt.tikicdn.com/cache/280x280/ts/product/f3/30/de/606d20a49257b003c7e5e319537009a2.jpg,Chăm sóc sức khỏe,Nghiêm Hương,Cuốn sách là tự truyện của một người phụ nữ đi xuất khẩu lao động tại Ả Rập Xê Út với mong muốn đổi đời với lời hứa hẹn từ trung tâm. Chỉ đến khi đặt chân đến đất nước Ả Rập cô mới nhận ra mình bị lừa...,94050,Alphabooks,2019-01-16 23:02:28,Bìa mềm,196,Nhà Xuất Bản Thế Giới,<p>13 x 20.5 cm</p>,,
85,Cô Đơn Trên Everert,https://salt.tikicdn.com/cache/280x280/ts/product/f1/48/4f/58a17aefb27fab18f4682d9b0045c6d9.jpg,Chăm sóc sức khỏe,"Di Li,DI LI","""Du ký của Di Li cuốn hút bởi rất nhiều chi tiết ngập tràn thông tin mới lạ, chính điều đó đã làm nên những câu chuyện. Di Li kể chuyện hấp dẫn, tỉ mỉ và thủ thỉ như một người bạn. Qua cách mà cô chia...",103320,Cty Văn Hóa & Truyền Thông Liên Việt,,,,Nhà Xuất Bản Hội Nhà Văn,,,
86,Tuổi Trẻ Không Hối Tiếc,https://salt.tikicdn.com/cache/280x280/ts/product/d4/fc/bc/3d9420386828bdb229978f724459be97.jpg,Chăm sóc sức khỏe,Huyền Chip,"Tuổi Trẻ Không Hối TiếcTôi tin rằng chỉ khi nào chúng ta dám đối mặt với cái chết, chúng ta mới có thể hiểu được giá trị của sự sống. Ai cũng biết rằng một ngày nào đó mình sẽ chết, nhưng chúng ta vẫ...",70000,Quảng Văn,2018-05-17 22:43:33,Bìa mềm,292,Nhà Xuất Bản Phụ Nữ,,,thông thường
87,Sách - Lịch lãm như một quý ông (tặng kèm bookmark thiết kế),https://salt.tikicdn.com/cache/280x280/ts/product/38/d6/c7/d5582d06086a853106e8fcd195b546d7.jpg,Chăm sóc sức khỏe,Élisabeth Jammes,"       Tác giả: Élisabeth Jammes , Étienne Pihouée   Dịch giả: Trần Thị Khánh Vân   Nhà xuất bản: Thế Giới   Số trang: 128   Kích thước: 15x21 cm   Ngày phát hành: 04-12-2019   GIỚI THIỆU SÁ...",84240,Nhã Nam,,,,Nhà Xuất Bản Thế Giới,,,
88,Đi Tây,https://salt.tikicdn.com/cache/280x280/ts/product/7e/1d/48/a303b334d46f934725d015cf9ccf3559.jpg,Chăm sóc sức khỏe,Doan,"“Ngày ngày tôi thẫn thờ nhớ về những lúc ngu dốt khi xưa, khi tôi cứ ngồi vểnh tai lên nghe chuyện thiên hạ, khi tôi xoay sở hết cách để kiếm từng đồng bạc lẻ rồi lại đem hết đi ăn uống, tụ tập, lê la...",72160,Bách Việt,2019-09-01 00:00:00,Bìa mềm,352,,13 x 20.5,,
89,Sách - Nếu... thì? (Nhã Nam) (tặng kèm bookmark thiết kế),https://salt.tikicdn.com/cache/280x280/ts/product/a1/ae/73/5563c88f89e8afa0299103d0fa533d69.jpg,Chăm sóc sức khỏe,Randall Munroe,"       Tác giả: Randall Munroe   Dịch giả: Nguyễn Hoài Anh, Nguyễn Văn Trà   Nhà xuất bản: Lao động   Số trang: 384   Kích thước: 17x23cm   Ngày phát hành: 04-2018   ...",102500,Nhã Nam,,,,Nhà Xuất Bản Lao Động,,,
90,Đi Thật Xa Trên Một Chiếc Camper,https://salt.tikicdn.com/cache/280x280/ts/product/c8/af/49/074f08be46c444ea176b3dbd2bf4bc9b.jpg,Chăm sóc sức khỏe,Khải Đơn,"Cuốn sách là những câu chuyện của riêng Khải Đơn – kể với bạn đọc về niềm vui được sống mỗi ngày, mỗi tuần, mỗi tháng, mỗi năm, mỗi khoảnh khắc tươi mới và sống động trong đời.   Khi bạn đọc tác phẩm...",146200,NXB Phụ Nữ,,,,,,,
91,Voi Không Ngà,https://salt.tikicdn.com/cache/280x280/ts/product/e0/e6/8e/c3abe7b14a3b8cc6f895cf90894ba486.jpg,Chăm sóc sức khỏe,Phan Việt Lâm,"Câu chuyện lí thú về các con vật như voi, linh dương, tê giá Được kể bằng chính trải nghiệm của tác giả....",30400,NXB Kim Đồng,,,,,,,
92,Sách - Fỉnh fờ lũ ngốc (Phishing for Phools) (tặng kèm bookmark thiết kế),https://salt.tikicdn.com/cache/280x280/ts/product/f2/61/a8/d259b141289aaa72fedd7e45c00fd16a.jpg,Chăm sóc sức khỏe,Nhiều Tác Giả,"       Tác giả: George A. Akerlof , Robert J. Shiller   Dịch giả: Lê Trung Hoàng Tuyến   Nhà xuất bản: Dân Trí   Số trang: 428   Kích thước: 14 x 20.5 cm   Ngày phát hành: 04-2020   GIỚI THI...",124800,Nhã Nam,,,,Nhà Xuất Bản Dân Trí,,,
93,Sách - Sách tương tác vừa học vừa chơi - Thiên nhiên muôn màu (tặng kèm bookmark thiết kế),https://salt.tikicdn.com/cache/280x280/ts/product/1c/ac/94/f136d0ae306c3538732087af214167ac.jpg,Chăm sóc sức khỏe,Nhiều Tác Giả,       Tác giả: Rebecca Gilpin - Erica Harrison   Dịch giả: Bảo Bình   Nhà xuất bản: Dân Trí   Số trang: 64   Kích thước: 21.5x25 cm   Ngày phát hành: 17-02-2020   Dành cho lứa tuổi 3-7   ...,75000,Nhã Nam,,,,Nhà Xuất Bản Dân Trí,,,
94,Đi Như Tờ Giấy Trắng (Tặng kèm sổ tay),https://salt.tikicdn.com/cache/280x280/ts/product/f7/8c/53/37fe3361edcbef5bdad12c0682888ba8.jpg,Chăm sóc sức khỏe,Trần Thuỳ Linh,"Đi Như Tờ Giấy TrắngCuốn sách là những trang viết về trải nghiệm du lịch ở những vùng đất từ lạ đến quen, từ nước ngoài về Việt Nam. Các trang du ký thú vị, đầy màu sắc, độc đáo bởi được tạo nên dưới...",111860,Alphabooks,2019-01-16 15:27:16,Bìa mềm,304,Nhà Xuất Bản Văn Học,<p>13 x 20.5 cm</p>,,
95,Combo Tuổi trẻ đáng giá bao nhiêu + Đến Nhật Bản học về cuộc đời (Tái bản),https://salt.tikicdn.com/cache/280x280/ts/product/0c/aa/9b/c81c65772f8b6f00d3e5527a14c94491.jpg,Chăm sóc sức khỏe,"Rosie Nguyễn, Rosie Nguyễn","Đến Nhật Bản Học Về Cuộc Đời (Tái bản)“Đến Nhật Bản học về cuộc đời” là một quyển sách kì lạ. Vì trước khi là một quyển sách vạn bản, đó là quyển nhật ký 368 ngày sống ở Nhật của một cô gái nhỏ.Trong...",159000,Nhã Nam -  Hội Nhà Văn,2021-05-21 16:08:13,Bìa gập,735,Nhà Xuất Bản Hội Nhà Văn,,,bìa mềm
96,Hạt Muối Rong Chơi,https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img762.u547.d20161115.t112544.121419.gif,Chăm sóc sức khỏe,Nguyễn Phan Quế Mai,"Hạt Muối Rong Chơi Bạn sẽ bắt gặp hình ảnh một cô bé châu Á run rẩy trước thiên nhiên hùng vĩ của thế giới, sợ co rúm người khi lần đầu tiên nhìn thấy người đàn ông trần truồng như nhộng, và hồ hởi t...",80960,Phụ Nữ,2016-06-01 00:00:00,Bìa mềm,156,,13.5 x 20.5 cm,,
97,"Combo sách gia đình: Hành Trình Về Phương Đông, Dế Mèn Phiêu Lưu Ký",https://salt.tikicdn.com/cache/280x280/ts/product/56/8b/d5/cacf1524888049222f2e384f9ce06450.jpg,Chăm sóc sức khỏe,"Tô Hoài,Baird T. Spalding","Hành Trình Về Phương ĐôngHành Trình Về Phương Đông mở ra một chân trời mới về Đông Tây gặp nhau, để khoa học Minh triết hội ngộ, để Hiện đại Cổ xưa giao duyên, để Đất Trời là một. Thế giới, vì vậy đã...",233500,First News - Trí Việt,,Bìa mềm,,,,,
98,Sách - Có phải tại con đâu! (tặng kèm bookmark thiết kế),https://salt.tikicdn.com/cache/280x280/ts/product/0c/33/66/06a59daea102eec9ffabe2cbbd36dc9b.jpg,Chăm sóc sức khỏe,Isabelle Filliozat,       Tác giả: Isabelle Filliozat   Dịch giả: Nguyễn Thị Tươi   Nhà xuất bản: Thế Giới   Số trang: 176   Kích thước: 16x20.5 cm   Ngày phát hành: 06-2018   ...,59000,Nhã Nam,,,,Nhà Xuất Bản Thế Giới,,,
99,"Sống Không Sợ Mất, Đi Là Phải Chất (Tặng kèm sổ tay)",https://salt.tikicdn.com/cache/280x280/ts/product/b4/51/11/b3bda00d95520e9a1c739df5d3de5075.jpg,Chăm sóc sức khỏe,Ash Dykes,"Hôm nay là ngày bất khả thi của tôi, cái ngày tôi cảm giác thấy hành trình không thể hoàn thành. Nếu không thể ngồi dậy được, chắc chắn tôi sẽ chết trên sa mạc Gobi. Quá muộn để nghĩ ra một kế hoạch d...",91000,Saigon Books,2019-05-16 21:23:53,Bìa mềm,252,Nhà Xuất Bản Văn Hóa - Văn Nghệ,<p>14 x 20.5 cm</p>,,
100,Combo Sách Hay: Quá Trẻ Để Chết-Hành Trình Nước Mỹ + Trở Về Nơi Hoang Dã (Tặng Kèm Bookmark Ahabook),https://salt.tikicdn.com/cache/280x280/ts/product/8f/1b/ba/13e3881f816aeec7f2a8dbe1f50ed521.jpg,Chăm sóc sức khỏe,Nhiều Tác Giả,Combo Sách Hay: Quá Trẻ Để Chết-Hành Trình Nước Mỹ + Trở Về Nơi Hoang Dã (Tặng Kèm Bookmark Ahabook)1. Qúa Trẻ Để Chết-Hành Trình Nước MỹQuá trẻ để chết: Hành trình nước Mỹ là hành trình đơn độc của...,175000,Nhã Nam,,Bìa mềm,,Nhà Xuất Bản Hội Nhà Văn,,,
101,Sách - Những vị thần Bắc Âu (tặng kèm bookmark thiết kế),https://salt.tikicdn.com/cache/280x280/ts/product/48/33/18/cae6246676baacd836791673631dcb91.jpg,Chăm sóc sức khỏe,Nhiều Tác Giả,"       Tác giả: Ingri mortenson , Edgar parin D'aulaire   Dịch giả: Đoàn Mai   Số trang: 166   Kích thước: 20.5x28.5 cm   Ngày phát hành: 04-2020   ""Những vị thần Bắc Âu"" kể lại sự tích và hà...",137000,Nhã Nam,,,,Nhà Xuất Bản Hà Nội,,,
102,Combo sách tuổi thanh xuân: Ta ba lô trên đất Á + Giải mã hành tinh EXO,https://salt.tikicdn.com/cache/280x280/ts/product/1b/69/cb/72dbeda1f3b34c785c1656dde9e3e1b0.jpg,Chăm sóc sức khỏe,"Rosie Nguyễn, Rosie Nguyễn","Ta Ba Lô Trên Đất ÁQuyển sách đầu tiên của Rosie Nguyễn, nay trở lại với một diện mạo mới và một quốc gia mới mà trước đây tác giả chưa có dịp nhắc đến. Ta ba lô trên đất Á không chỉ là cẩm nang du l...",234000,Nhã Nam ,2020-12-12 16:17:20,Bìa gập,605,Nhà Xuất Bản Hội Nhà Văn,,,BÌA MỀM
103,Combo Đừng Bao Giờ Đi Ăn Một Mình + Thế Giới Rộng Lớn Đừng Đi Một Mình (Tặng Bookmark Phương Đông),https://salt.tikicdn.com/cache/280x280/ts/product/55/1f/9c/662ae6f024ef074884bc460ac20321c9.jpg,Chăm sóc sức khỏe,Nhiều Tác Giả,"Combo Đừng Bao Giờ Đi Ăn Một Mình + Thế Giới Rộng Lớn Đừng Đi Một Mình (Tặng Bookmark Phương Đông) là combo sách cực hay cung cấp cho bạn đọc rất nhiều kỹ năng bổ ích, là một trong những cuốn sách nằm...",208000,Skybooks,,Bìa mềm,,Nhà Xuất Bản Phụ Nữ,,,
104,Văn Chương Sài Gòn 1881 - 1924 - Tập 4: Du Ký Và Những Truyện Khác,https://salt.tikicdn.com/cache/280x280/ts/product/b8/5e/af/f199954c62da686a9a92d52003e39913.jpg,Chăm sóc sức khỏe,Trần Nhật Vy,Văn chương Sài Gòn 1881 - 1924 - tập 4: Du ký và Những truyện khác   Lời nói đầu   Du ký là thể loại văn học quốc ngữ không mới. Thể văn nầy vừa mang tính văn học vừa mang chất báo chí. Đây là thể l...,152000,NXB Văn Hoá Văn Nghệ,,,,,,,
105,Combo Sách Hay: Phương Đông Lướt Ngoài Cửa Sổ (Tái Bản 2019) + Hành Trình Về Phương Đông (Tái Bản) - Tặng kèm Postcard GreenLife (AHA)  ,https://salt.tikicdn.com/cache/280x280/ts/product/f0/61/c2/2dd96264b5549bccd8de3c1caa8b54bd.jpg,Chăm sóc sức khỏe,"Paul Theroux,Baird T. Spalding","Combo Sách Hay: Phương Đông Lướt Ngoài Cửa Sổ (Tái Bản 2019) + Hành Trình Về Phương Đông (Tái Bản) - Tặng kèm Postcard GreenLife (AHA)  Bộ sách để đời cho những độc giả khao khát được đi, được khám p...",218000,Nhã Nam,,Bìa mềm,,,,,
106,Combo sách du ký tuổi thanh xuân: QUÁ TRẺ ĐỂ CHẾT HÀNH TRÌNH NƯỚC MỸ + TUỔI TRẺ ĐÁNG GIÁ BAO NHIÊU (tặng kèm bookmark),https://salt.tikicdn.com/cache/280x280/ts/product/4a/e3/f9/6bc4a2c8d163fb3c2844c614f240d954.jpg,Chăm sóc sức khỏe,"Đinh Hằng,Rosie Nguyễn","""Bạn hối tiếc vì không nắm bắt lấy một cơ hội nào đó, chẳng có ai phải mất ngủ.Bạn trải qua những ngày tháng nhạt nhẽo với công việc bạn căm ghét, người ta chẳng hề bận lòng.Bạn có chết mòn nơi xó t...",150000,Nhã Nam,2021-02-04 10:37:48,Bìa gập,769,Nhà Xuất Bản Hội Nhà Văn,,,bìa mềm
107,Sách - Con Đường Hồi Giáo,https://salt.tikicdn.com/cache/280x280/ts/product/07/b4/9f/b0c92863ae16e3afd84a6490f71f09d3.jpg,Chăm sóc sức khỏe,Nguyễn Phương Mai,       Tác giả: Nguyễn Phương Mai   Ngày xuất bản: 01-2018   Kích thước: 14 x 20.5 cm   Nhà xuất bản: Nhà Xuất Bản Hội Nhà Văn   Loại bìa: Bìa mềm   Số trang: 304   GIỚI THIỆU SÁCH   Con Đư...,88000,Nhã Nam,,,,Nhà Xuất Bản Hội Nhà Văn,,,
