,Tên Sách,Ảnh bìa,Thể loại,Tác giả,Nội dung tóm tắt,Giá bìa,Công ty phát hành,Ngày xuất bản,Loại bìa,Số trang,Nhà xuất bản,Kích thước,Dịch Giả,Phiên bản
35,"Angelina Jolie - Nhật Kí Những Chuyến Đi - Những Cuộc Gặp Gỡ Với Người Tị Nạn ở Châu Phi, Campuchia, Pakistan Và Ecuador",https://salt.tikicdn.com/cache/280x280/ts/product/93/a2/cf/aaa7ae11afba0b8ef99ba000fea7849e.jpg,Chăm sóc sức khỏe,Angelina Jolie,"Angelina Jolie ngoài vai  trò  là  một  diễn  viên,  đạo diễn  điện  ảnh,  cô  còn  là  Đại sứ  thiện  chí  của  Cao  ủy  Liên Hiệp Quốc về người tị nạn. Cô đi đến những vùng đất đang có  chiến  tranh...",108560,NXB Kim Đồng,2020-04-04 00:00:00,Bìa cứng,316,Nhà Xuất Bản Kim Đồng,13.5 x 20.5 cm,Hoàng Anh Kapi,
36,Ở Lại Với Ngàn Sao (Du Ký),https://salt.tikicdn.com/cache/280x280/ts/product/2f/cb/b5/f7b4b66d67a939488f5b226a875e4a50.jpg,Chăm sóc sức khỏe,Đỗ Doãn Hoàng,"Chúng tôi lơ lửng trên bầu trời Thổ Nhĩ Kỳ. Như mộng du. Vật thể bay ấy trôi rất êm, rất chậm. Vừa bay còn vừa tự xoay quanh trục của mình khe khẽ, để khách lãng du có thể nhìn ba bề bốn bên các dãy n...",140000,Liên Việt,2019-04-01 00:00:00,Bìa mềm,,Nhà Xuất Bản Văn Học,15.5 x 23.5 cm,,
37,Mumbai Và Những Chuyến Tàu Đêm,https://salt.tikicdn.com/cache/280x280/ts/product/cc/bf/45/78fad9135d5a9ca52260d3830f6e1a50.jpg,Chăm sóc sức khỏe,Hasu Tran,"Năm hai mươi ba tuổi, không như nhiều bạn trẻ lựa chọn lập nghiệp tại quê nhà, Hasu Tran lên đường sang Ấn Độ làm việc theo chương trình Nhân tài toàn cầu của tổ chức AIESEC. Đây là tổ chức thanh niên...",104400,Wings Books,2019-02-02 00:00:00,Bìa mềm,400,,14x22.5 cm,,
38,Mùa Hè Năm Ấy (Tái bản),https://salt.tikicdn.com/cache/280x280/ts/product/4b/1a/9c/76545b74c98881711050ddbbd797fa46.png,Chăm sóc sức khỏe,Đặng Huỳnh Mai Anh," “Mùa Hè Năm Ấy” - Tác giả Đặng Huỳnh Mai Anh (Tái bản lần thứ hai)“Mỗi chúng ta đều có những mùa hè, mà sau đó, mình thay đổi”.Cái tên ""Mùa hè năm ấy"" sẽ khiến nhiều người chờ đợi những cuộc phiêu ...",90000,Công ty TNHH Sách Phục Hưng,2020-05-28 17:55:45,Bìa mềm,202,Nhà Xuất Bản Thế Giới,,,
39,Nơi đó mùa xuân qua chưa,https://salt.tikicdn.com/cache/280x280/ts/product/92/47/26/8cc7ac3aaf3a1f7cf0a49cbbd7c75296.jpg,Chăm sóc sức khỏe,Linh Cầm,"""Hình như, trời sinh ra hai con người ấy với đủ những chua cay mặn đắng trong đời, để rồi kiêu hãnh riêng mang, cho đến ngày gặp gỡ, chỉ có họ mới có thể giúp nhau cởi bỏ. Không sớm hơn, không muộn hơ...",30000,Công Ty TNHH Văn Hóa Đông Tây,2014-07-01 15:49:59,Bìa mềm,161,Nhà Xuất Bản Văn Hoá Thông Tin,,,Tiếng Việt
40,Chu Du Xứ Sương Mù,https://salt.tikicdn.com/cache/280x280/ts/product/32/01/b0/8a6efb20b277e33cb000092571e6713e.jpg,Chăm sóc sức khỏe,Kim Anh,"Chu du xứ sương mù kể về chuyến đi học tập, trải nghiệm, vui chơi của một cô gái ở vương quốc Anh. Trong hành trình ấy có vất vả của những ngày làm hồ sơ xin học bổng. Có nỗi buồn của những ngày xa xứ...",71250,NXB Kim Đồng,2020-11-15 00:00:00,Bìa mềm,144,Nhà Xuất Bản Kim Đồng,13.5 x 20.5 cm,,
41,Bước Chân Theo Dấu Mặt Trời – Hành Trình Trở Về Ấn Độ,https://salt.tikicdn.com/cache/280x280/media/catalog/product/h/i/hinh.u4939.d20171020.t165038.91274.jpg,Chăm sóc sức khỏe,Phương Thu Thủy,"Bước Chân Theo Dấu Mặt Trời – Hành Trình Trở Về Ấn Độ được viết bởi một người phụ nữ đã từ bỏ công việc ổn định, rời xa ngôi nhà êm ấm để trở thành kẻ lữ hành cô độc đến những miền đất lạ với tấm vé m...",59500,Alphabooks,2017-10-20 00:00:00,Bìa mềm,348,Nhà Xuất Bản Thế Giới,14 x 19 cm,,
42,Du Ký Xanh - Hành Trình Cứu Biển,https://salt.tikicdn.com/cache/280x280/ts/product/15/69/65/5d7255b0cb2efe0beddd72f72d815e20.jpg,Chăm sóc sức khỏe,Lekima Hùng,Ghi lại hành trình đi chụp ảnh rác thải nhựa gây ô nhiểm khắp Việt Nam của nhiếp ảnh gia Lekima Hùng. Hùng Lekima đã đi gần 7000km trong đó có 3.269km bờ biển từ Bắc chí Nam bằng xe máy.- Bố cục: Gồm...,87200,Alphabooks,2019-11-01 00:00:00,Bìa mềm,164,,13 x 20.5 cm,,
43,"Nhật Bản: Hoa Anh Đào, Kimono & Gì Nữa",https://salt.tikicdn.com/cache/280x280/ts/product/f6/67/c2/b727809707033104f2a6c5112a1a2694.jpg,Chăm sóc sức khỏe,Tama Duy Ngọc,"Nhật Bản hiện đại nhìn qua góc nhìn của một du học sinh, ngoài một Nhật Bản truyền thống với hoa anh đào tượng trưng cho sự vật và cô gái Kimono tượng trưng cho con người Nhật Bản. Văn hóa đại chúng N...",85000,NXB Trẻ,2019-05-01 00:00:00,Bìa mềm,212,,13 x20 cm,,
44,Sách Dành Cho Hoạt Động Ngoại Khóa - Tây Du Ký (Bìa Cứng),https://salt.tikicdn.com/cache/280x280/media/catalog/product/t/a/tay-du-ki_1.jpg,Chăm sóc sức khỏe,Ngô Thừa Ân,"Sách Dành Cho Hoạt Động Ngoại Khóa - Tây Du Ký Là câu chuyện thầy trò Đường Tăng chinh diệt yêu ma, trải qua 81 kiếp nạn để cầu lấy chân kinh. Bốn thầy trò hiện lên như bốn tính cách điển hình sống m...",103500,Nhà sách Minh Thắng,2014-08-18 00:00:00,Bìa cứng,,,17 x 25 cm,,
